# Nom du sujet : PJj01
# Prénom : PJj01
# Date de naissance : 01/01/2001
# Date de la séance : 12/04/2024


set2_obj_nat_I_08_eq.bmp;Non;484 ms;;G;469 ms;
set2_ani_art_I_10_eq.bmp;Oui;1875 ms;;G;469 ms;
set2_ani_nat_C_03_eq.bmp;Non;2250 ms;;G;437 ms;
set1_obj_nat_I_03_eq.bmp;Non;1094 ms;;G;500 ms;
set1_obj_art_C_18_eq.bmp;Non;906 ms;;G;562 ms;
set1_obj_art_C_09_eq.bmp;Non;297 ms;;G;359 ms;
set2_ani_nat_C_12_eq.bmp;Oui;469 ms;;G;407 ms;
set1_obj_nat_I_04_eq.bmp;Non;390 ms;;G;484 ms;
set2_obj_art_C_18_eq.bmp;Non;500 ms;;G;360 ms;
set1_obj_nat_I_08_eq.bmp;Non;391 ms;;G;359 ms;
set1_obj_art_C_05_eq.bmp;Non;438 ms;;G;375 ms;
set1_ani_nat_C_16_eq.bmp;Non;391 ms;;G;375 ms;
set2_obj_art_C_09_eq.bmp;Oui;672 ms;;G;422 ms;
Fin du bloc
set1_obj_nat_I_17_eq.bmp;Non;406 ms;;G;328 ms;
set2_obj_art_C_05_eq.bmp;Non;562 ms;;G;343 ms;
set1_obj_nat_I_09_eq.bmp;Non;344 ms;;G;344 ms;
set2_ani_art_I_02_eq.bmp;Oui;407 ms;;K;469 ms;
set1_ani_nat_C_07_eq.bmp;Non;453 ms;;G;625 ms;
set1_ani_nat_C_08_eq.bmp;Non;656 ms;;G;453 ms;
set2_obj_nat_I_07_eq.bmp;Non;421 ms;;G;344 ms;
set1_ani_nat_C_13_eq.bmp;Non;469 ms;;G;547 ms;
set2_ani_art_I_01_eq.bmp;Oui;375 ms;;G;593 ms;
set1_obj_nat_I_01_eq.bmp;Non;313 ms;;G;344 ms;
set2_obj_art_C_06_eq.bmp;Non;344 ms;;G;360 ms;
set2_ani_art_I_07_eq.bmp;Oui;422 ms;;G;657 ms;
set1_obj_nat_I_16_eq.bmp;Oui;594 ms;;G;437 ms;
set2_ani_nat_C_15_eq.bmp;Oui;375 ms;;G;515 ms;
set2_ani_art_I_03_eq.bmp;Oui;344 ms;;G;437 ms;
set1_ani_art_I_08_eq.bmp;Non;422 ms;;G;578 ms;
set2_obj_nat_I_12_eq.bmp;Non;375 ms;;G;359 ms;
set2_obj_nat_I_09_eq.bmp;Non;438 ms;;G;344 ms;
set2_ani_art_I_08_eq.bmp;Oui;1047 ms;;G;1031 ms;
set1_obj_nat_I_11_eq.bmp;Non;812 ms;;G;641 ms;
set1_ani_nat_C_06_eq.bmp;Non;329 ms;;G;422 ms;
set2_obj_art_C_10_eq.bmp;Oui;344 ms;;G;469 ms;
set1_obj_art_C_07_eq.bmp;Non;297 ms;;G;531 ms;
set2_obj_nat_I_03_eq.bmp;Oui;312 ms;;K;547 ms;
Fin du bloc
